delegateAddress,gatewayAddress,delegateStake
--VDOfP6JI-JmfPlPP0yGcNrekFdAwE-1QCKaoI2Tfw,1GRKSKvsHj-9XPzb-CejeCIAQ511Xz97QgX598sB9FY,3932500000
-13pITqGBrdBfa0yefYNgnU2u0R2UpYThq6Vki0s1Ak,GDL0N8-lY37pbq_jyMJ6PQrYcHYB7B_IX1Ddt0zlW1E,2172500000
-1OG9W_dZhPNg_wW_vnXcI7DkwjtwnycNklOemvjKjI,lKV8q3FaFKGL4bYkszchbB075LkyDsJ5gR8ia8yAHSc,1521250000
-1Tk2IsqQA2TVyeY7hZh0Z3kYB1rxVYd1z9Ui1lgLtA,qOKdOncgYREg1mt5eDeHvh0LZUpReI4FvehkYZ6-mcA,608750000
-8MOh_Bdj4Hz8Ywtg88Fp3n-UylCSeMtHU_m1_Zp3rs,N64vIXjphKRHrciqRafXleT_dJ_PwgYVa-_kdWy1Xpk,435000000
-98TcIuUum6rxnCChi_h9cmXACStlNXh_w0zpKMGmtw,YlDY5URaAmLNcg5BfqQHKl6-_tIIuHfp5oPjpaqLX6w,3693750000
-9ZAVS-xAvvAZT3ySdX1heiQinim_1oNoMTNQ4zYVB4,fD5A1ki_bDGt-FjVvOPHPZ1ylDAQo4zCp9LIOD9VCWk,1086250000
-DdXTNpwr-u0-tUcqw8Ee0LvYjUTgLmhp0VmCMwE-do,RQbIsdPpKShzE_juXB4e0YL2b_AGCieF2tKh2uUWg7M,2172500000
-EP_ZMF2sYnDttl7t1BdTD0S47HbWkiUwfet-dHJ6Ks,iyCclzxNP5pWKCynz0hBZHyxDcdGt_h6F2QX457jVxk,652500000
-HAVia7OkazlIrXgsS2antXxMdyYS7YEJQ463ID77KY,d0OAR4PkoUY90PAw39NFty7bG8EFfi8M0ivhDLpnLmA,4128750000
-Hs-g8hyyy1jHLRIIcSyHnNZeNr7sZdziCGCsoDhCAo,gvNpPcsDbFvF-Wn-BymQLb3CbGYmh4L_8F2jp9QM7oQ,2390000000
-InVqHHr16Pj0cDk3wngTXWz8PwjzqsW-zxKRrFLoGc,Wonn3S1gh2YViGk8UCrA2wqD4qcv8Od2llFLUuPpFLc,3953750000
