name,processId,type,startTimestamp,endTimestamp,purchasePrice
dssfnskdnfksjdnklnds,8mM0_T1FqyY_7P0v9DYwUagsyUgxJcR0vdO384Pdef8,lease,1739387487472,1770923487472,1194520655
nexus,hKFpEQtd0A5P_2jytTlCitFQBGS7B4V4_GGT8DvnT_0,lease,1739299599142,1770835599142,12127113252
pds-testing-08,e0ijTrKJE5P6w5UDPQKR6wpipowOE0oehkPhjnAa53k,permabuy,1739284135843,,5052963855
pds-testing-06,dvlyb4nwAITRJ7IfJkTds8u9GbzwIIrwNj--gevboXs,lease,1739283806190,1770819806190,1212711325
test-dskfasdlkfjalksdjfjhgjhgasdjfhgaksjdhfgkasjhdg,lfdsVkUo4-qJclFD9OrFxoTnlacXIAzNN4RbJAX7WOI,lease,1739240363568,1770776363568,1154963166
portfolio,Eps5D1yHA1qyIuMpXLPqNFm0pOBEwvGlsZrPeXQ5NPU,lease,1739216454941,1770752454941,1154963167
arweavemaxi,R3sr_xMqkDphkTX6PZzATVryuzcN4iniYdJOp3I8Y3Q,lease,1739216151608,1770752151608,1154963167
puss-in-boots,A0u6_S0RT0qgpg8zdJDYxtIb5X9N2jFLmBzCD9WBMe0,lease,1739215782101,1770751782101,923970533
permabull,nvYBGpHjgJ6IATMIgirAY5vwFYEgxYdwVl2-vlYZxS4,lease,1739214805831,1770750805831,1154963167
after-testnet,ujDmGNMnln5kXGZuTwCAk-ryuyQmGd60rmSr4Ck3CDE,lease,1739214545481,1770750545481,923970533
cookie-monster,PzLD8JO3tPlkNWAiiZfXGuD6vPns0cTStxHyq5dafyI,lease,1739213894438,1770749894438,923970533
not-gonna-make-it,ayjJO_cBtB6BM5Bd1Fp4PohAMZ9JZvXahzKLgRKY9_E,lease,1739213745568,1770749745568,923970533
we-are-all-gonna-make-it,OmQ8PSoVnw-oPlZ3Ef4Z6hxbmjomPq5lwv0VQJ9VaH0,lease,1739213609946,1770749609946,923970533
a-------------------------------------------------o,oDr7wCC3hVVnJsILYN1HaMYRyqefsvWq6XkyjeUNQA4,lease,1739213420250,1770749420250,923970533
reader,1_C3zIfm56YNS3UEmJqZFVNAEui4nRyPK1axDk_I6-k,permabuy,1739138851999,,22915935851
