gatewayAddress,delegateAddress,delegateStake
gvNpPcsDbFvF-Wn-BymQLb3CbGYmh4L_8F2jp9QM7oQ,--VDOfP6JI-JmfPlPP0yGcNrekFdAwE-1QCKaoI2Tfw,3932500000
1GLELagOHDK_Yq9SvlIAAYjTc31pTuoH22xVsCdnS7Q,-13pITqGBrdBfa0yefYNgnU2u0R2UpYThq6Vki0s1Ak,2172500000
1GRKSKvsHj-9XPzb-CejeCIAQ511Xz97QgX598sB9FY,-1OG9W_dZhPNg_wW_vnXcI7DkwjtwnycNklOemvjKjI,1521250000
2Z70O6RWkDa2Az7LOtr9XdoDvS7_WY5KX7ZXiKu_sPI,-1Tk2IsqQA2TVyeY7hZh0Z3kYB1rxVYd1z9Ui1lgLtA,608750000
b8FjTeLN55rWw9M-Vt6fpUhD1OMsXbdD8g2ta2L9Woo,-8MOh_Bdj4Hz8Ywtg88Fp3n-UylCSeMtHU_m1_Zp3rs,435000000
YpujpAhHCPkyw9L1yxAYoJD-SQgqLfuZtLZfFWihmEo,-98TcIuUum6rxnCChi_h9cmXACStlNXh_w0zpKMGmtw,3693750000
eNSUT_JT0yQgrC6TP4k2IlkO-krjIKzAUgxVPZ58fFI,-9ZAVS-xAvvAZT3ySdX1heiQinim_1oNoMTNQ4zYVB4,1086250000
HkRKUlJM85uaOurxShYU5TD3fCsTO0-0mhh_rcgc1Xw,-DdXTNpwr-u0-tUcqw8Ee0LvYjUTgLmhp0VmCMwE-do,2172500000
Zwh1vYmwfbESP9-rXVXiNS8Ix0MEsUw5GSiObwkVEDE,-EP_ZMF2sYnDttl7t1BdTD0S47HbWkiUwfet-dHJ6Ks,652500000
H2Th3ijBQZEM_8CMIRqshbaUSyyax_ejnRDBqyp7WAc,-HAVia7OkazlIrXgsS2antXxMdyYS7YEJQ463ID77KY,4128750000
