address,mARIOQty
--6xxNi9O8I4o_UnUVIZNm89SSn4IzgWnHV30UT0m0E,696000000
--jb5P1ezFt0BESWaJ6a5kO-wtpj5SZsoc7YYjNEgzA,696000000
--uwhGiQ5JlhVdjcftvESGnxEurq8LI7s01hZQTEXE0,696000000
-0CKzYf6fbwXYoKyCwd_R2Rv2XiLuunRrMK29EOftbI,348000000
-0Zbmhjnjleq8f8pNxhw4Y4fjf27K3p0a2SUme54220,696000000
-0bcDq0U-Al9qXo4dgRcyrY6Qffp-TvuTWP8v6_b0NQ,348000000
-0jeOkUlvAJbVUIi9OjL3ISvPpS397Ph_VzCfW9w8qA,348000000
-0t1x_VVEgSbRQkRMv0zjFTmNApjTYrTTM_AUHbp0sc,452000000
-14ZDlxWLcg2X34LMJZ-yFlaQF8ZVqsFf27Ajcd7mXQ,348000000
-3U-U5OdnfZpUOc8wURyfnpZgMwaOEXMHkZpwx5KlLo,696000000
-3tB9r-BPKOQC3Pf0gastgv2VCS4WbaiimubUej775s,2729000000
-47H48O6hRr4gcGbpu5W7aPS29tBt-c-vnElI94ezCs,1008000000
-4S7U9_LGWTumCJEI991Xe-BANoqCS6fyUqbuZTfC4Q,783000000
-4wDoMyOpuZXLjZCDvw-Z_lWqWdxIOG2SH8NHhKWydo,452000000
-5AcvYSPFLGQq1UP_bUh9SfoI1PFBK-8wKFF1InL8Vo,696000000
-5OvsF2K0Ey1fXVjC1HuQTzQn3EaNlJPD-FdpuwWCN8,348000000
-673SgRMiUHtWkkcHnYNZ1ucJXhKkqJNfwWaou0swJI,765000000
-7Fve03QUkosYa1rQj6hnF_euNmzDnchul2ZXJYPagE,1912000000
-8BCHOUwRgx5C4j3tD2hpik6lJ5jqb70gWCHyybW3BY,435000000
-8KIE-EJs5Oxr0Bk1mtcBQrxJkOYZRWbUlC1AJDbIWA,696000000
-8l3mRnJ1kon8IvmIA1hAdoEZ8Yxni7CloOpcVXUUrg,869000000
-92rV0YOP-eGyFKxLvb_IU1YQTiqXUFZeN0d0IvXIsk,696000000
-9ALj-MFYALHkRMsip2OIvYj2ShpGKbSLS-uyx9HUKA,1234000000
-9JpeegfjDholulfZClRY3x3CAObzrGln3kRVHuYk7U,383000000
-9aBMy63JSLrIeAo_tp1o9DcAd6uT6ebkhRW7AOBNAg,348000000
-AhS7vz8CBdXwGvXFXZDCIrkzMmlfcBgGbpF4dvYZCA,348000000
-B94zssdipTvDIsSoeHgH6xxyR4afWef2xZWxmAuU4Y,1565000000
-Bx-LAbS8y1eRanpC7pLUkCns0wjj1wDjx6aLtN7BP8,748000000
-C5AiYcMmrOFHrnQwhJg1Xtzhz23T0zNB0ACge1otHs,23695000000
-C5ywtwJXjHRb7IFYIg4mhZPgX-6hO7l47poD9ONayk,348000000
-CaNk2-cS958_ffe7dNU6GpDmc--R35C54yReSrzDlw,696000000
-Cq7hGrmn7WMnV9vJHyyk_YqBAGSU94Kt6V56zTyBYs,696000000
-Dyy_iM8ONOlkiqLdJpkacnLE6sGZ4RRls635kJJ0HM,522000000
-ETmq4iaTrgi7d_Iu9GVBEbydJNut_NTu34ExyASTTw,696000000
-GnHDZ198D89Y9K8rBMz3M2XacJ5GSFR5uHOOligWEE,348000000
-HRgG-Q5Cml7SpgUZJym-K4Fn63cSI7AcjaPWd707A4,470000000
-HtKnVtGMNEUHOgNmvk6QUzf5gRxP41bdKrHVjepmug,869000000
-JWtxXdnb2sZPZP5xSjtLSU6UAiO4flvfVcf6M2zdIc,1738000000
-LMHXvoZqf-yK_rzuEvnef2QXRzh4bse4ilpFaIU59w,922000000
-MKUL_oDwOJPoQxzbfDdRCDB0FEycEx7w7yIEEKSvbI,348000000
-Mv3onQ_L3UO9OX7UNkCSD7y5B5U5wYqn89w1mGgq2k,869000000
-NKfy1CNmof4ZXLS_htGm8vrSUwYqvnG4wlkgeRXdXI,2607000000
-NLSGhqGlFlH6iPDOWRjJ8PsrdcfHfxmkFD9Af5MuFY,574000000
-OITeZZeHCFH9hge0qvC9bBQAQf3N8skwg81h30RsQo,869000000
-OXppZAXOeUaG7BlKhpKdZAg5dB_CsY2sy84BDkl19I,800000000
-OkLQwLgoND9TYEjcbQApQsAOlOmeWF5QBIIWn5DPaE,1043000000
-OpxN-EdQN3mkIKfZGr-4zW_prpT06gkh6iuBPFbnTg,421000000
-P60tL9_M2vtX-doW4GE-0FX-cWKmfdaz-dJeUVKK7w,1704000000
-PANlSCWrsKJ-IhwGLjNAjYRktpvwyKCWTN3B6RpxWA,348000000
-PFooMx328JzLjkn9vAXEXEK4VtYAi1N7WaMTlbxuMc,1912000000
-PLcxIUZNli5xndoH25pkewukir-abslLH-LA1hht_s,348000000
-PcfJPgd4YtIbzHMcpu2UJiRUO3aV8Ee7Dp41Bkltsg,3657000000
-RF34C7uKZFZyRYDy6oY5xHY7MuRCczNDqteN30qZCs,1373000000
-RUw6cPX47XDSCt3g_bo-DPKtO5UVrOEjzsf-q7EUl4,348000000
-RV7a7N8gPDz2YdYpLZ5ou78N9NayG-ONNcZZ9rB84Y,1912000000
-RnCA_XYzOp_ASi73CtC8c_TpHb4Ez039e7IjuIOLNA,2781000000
-RoLb3VNNfLB8L1C1odwd_nrUaz9vTvXZbfnBss1RTE,5006000000
-Rw5_rkGrQAA-jDwQAa2uPAF3EHIRnjU7SjXFIqmI3A,4012000000
-S7TJ3zKnEXfVW7En2IzuKTK60sU7vku8x9Y5HSN1dE,348000000
-SLo-YkvLbDcI6f4hUPN-BphFrrlhN6YGRYPpSeFLfY,1565000000
-ScHFhHOo2QawddjNiHdUuMkEyEEbCsln1-nkdjoR-E,696000000
-T-mDBGnmR8jry1GKIOy4MpMtZInZ0r5-6NH0e5S_tg,1738000000
-URl7vFgemn8B6ro2ndQ_7ejon4qMX5658aw2C5-E4o,696000000
-UovVUjpTSbXC0c_VbTM30WVExc8lo6cehOqmbIS_0c,348000000
-VGZGyuzVY0cmPvPLQN7Ja-40R-C8pqU9TdQ9SJuhDQ,696000000
-VhODAQxCWezKdH4eCKlZGzpx5awm8sWLlI2vUMWpCk,1252000000
-Vm_CcVGK-AsjQOwBohX4m8k4cXfA-v40SzdSgd8w_I,1217000000
-WhyoxyTtlzoGBCzFJ69p4PPea_cFI-o_B2CSUZUMUk,542000000
-Xz2oNhWp7R9w3uUMIpEOV0lPpkXdycieWAGYULkhdM,869000000
-YOHIKmPMjmdqQB4fhmFNnBXSy1pEmNSaX6F789FsRg,452000000
-ZfdO1jF_jZNsQQaoFaR3OGIAVq6xp-dO4XExI50YA4,348000000
-_KHuNJFsOUyn1AvIAfDhJCqTPj7nZZ5Z6NLsA3GizE,16441000000
-_V71KRHETc3vcOQG71Dt3DZSxOkOz-P50A_LcgmO90,922000000
-a5Zu2--8tRFUXG2X8UnC0hfY5RIlt67s43tOz4vyMI,1391000000
-aHIh4KtYPCGVupBfa-TPqUa3VcukVqjVUjpzOtB5QE,348000000
-aWWTdrH1KmNa76KwQbUz_pG1-7qpo6qE0Kh2jGcxpk,348000000
-b7s3id1VLuJLRjSWEVT439_2TKm_0cJqgU9MBg4GwE,1512000000
-b864nzuCfSgJ5-Vb4_EgeU_yNsTX8dsXU1xyK2mwTs,3129000000
-bso5Y8XtF_sSmSC0tBSqNCb8bwKb7ywjIcN5MIGSXQ,1738000000
-c15Kg6hq0qigoELq5IQk6PtZGzrWRbXVj0JJaQN658,922000000
-d5csPWd9MJYEBTC1WUjGxUIAxtdCvNbJE9wyPVPZag,696000000
-d9S3ErrYlW1W7ZY_3BBqgbItgSkECClAYq6RSzf5Pc,20004000000
-dKN1EhiJz8M3cW0MK1eEes8rXitCLN8YVuKCA9tKxQ,348000000
-dzonOZxFDhRYPmp3-ttlb6RKCiyeyWTWVeO3cEGGMM,696000000
-eJBNjCz8itxsT0kw0aC1a97RknLbPhuelzAeQuUo20,1391000000
-ekBrUsNcGOooB1E3usLK5GBz5qT0ykv_Jilw2s9FB0,348000000
-fhAVRzhpIsEymbDKgjGZvUuHQpzwuN-n2t2h0z0b9I,1565000000
-guBVcLhL4OEYac1KXj1oL2pXDPICWOBATVg8UacGck,383000000
-h2ouAKBiyZVR82pJaXDqJEXA-mxPPlGsoAOyUYyw0w,800000000
-hXVNXYMqpM-KMqfWzg4WhGvdMIeDP-NUio2rVw_mAk,522000000
-iPhKZBKauWRq8VzZ9ar5l4nd2nRfQUoItmzVLWvD3I,3476000000
-kNryGhZvH2cH1AD9riHfqwDJ4jcUGjK8TuSmY4KYEU,452000000
-kkVqt6KYUJfRfVlsCQDgJMgxAzZAeL06ryR69Ckwnc,2225000000
-lHDcZu5ZOmkGDG-59N2nCPhSq91VZO3ubXUDmxfAFk,348000000
-lVdRUw84SvyBomhwvz6GsIB5Ul-V3BrUdkYxcAr-nM,1912000000
-lcpm0ZotZB9eGH3tbgT0vEeiVVBbSQQBY0pbqoYR0c,2649000000
